Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,22,1,26000,28165.769636453744,264.76983400061727,47168.28037495725,5754.909090909091,0.38367865922352085,0.017439939055614584,28000,34000,40000,41000,45000,47000,47000,47000,47000,47000,47000
,Aggregated,22,1,26000,28165.769636453744,264.76983400061727,47168.28037495725,5754.909090909091,0.38367865922352085,0.017439939055614584,28000,34000,40000,41000,45000,47000,47000,47000,47000,47000,47000
