Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,600,590,8,835.4071356343533,2.557916974183172,54865.61416601762,155.89166666666668,10.174357262646163,10.00478464160206,8,9,11,13,130,560,1000,46000,55000,55000,55000
,Aggregated,600,590,8,835.4071356343533,2.557916974183172,54865.61416601762,155.89166666666668,10.174357262646163,10.00478464160206,8,9,11,13,130,560,1000,46000,55000,55000,55000
