Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784245654,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784245655,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784245656,400,POST,/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,1900,1835.4763053333347,1666.2600410054438,1969.6688749972964,5604.666666666667
1784245656,400,,Aggregated,0.000000,0.000000,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000,3,0,1900,1835.4763053333347,1666.2600410054438,1969.6688749972964,5604.666666666667
1784245657,600,POST,/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,1900,2107.430406000276,1666.2600410054438,2923.2927080010995,5608.0
1784245657,600,,Aggregated,0.000000,0.000000,2000,2000,2900,2900,2900,2900,2900,2900,2900,2900,2900,4,0,1900,2107.430406000276,1666.2600410054438,2923.2927080010995,5608.0
1784245658,800,POST,/search,0.000000,0.000000,3700,3700,3700,3700,3800,3800,3800,3800,3800,3800,3800,25,0,3700,3368.2298881193856,1666.2600410054438,3802.74204199668,5906.24
1784245658,800,,Aggregated,0.000000,0.000000,3700,3700,3700,3700,3800,3800,3800,3800,3800,3800,3800,25,0,3700,3368.2298881193856,1666.2600410054438,3802.74204199668,5906.24
1784245659,1000,POST,/search,1.000000,0.000000,3700,3800,4100,4200,4400,4900,4900,4900,4900,4900,4900,36,0,3700,3675.8977880829966,1666.2600410054438,4906.579833004798,5989.138888888889
1784245659,1000,,Aggregated,1.000000,0.000000,3700,3800,4100,4100,4400,4900,4900,4900,4900,4900,4900,36,0,3700,3675.8977880829966,1666.2600410054438,4906.579833004798,5989.138888888889
