Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,1213,1213,7,156.08609868293192,1.987833995372057,2381.5351669909433,55.34047815333883,67.20647639279225,67.20647639279225,7,19,89,150,360,930,1900,2200,2400,2400,2400
,Aggregated,1213,1213,7,156.08609868293192,1.987833995372057,2381.5351669909433,55.34047815333883,67.20647639279225,67.20647639279225,7,19,89,150,360,930,1900,2200,2400,2400,2400
