Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,11088,11039,6,435.90011508179174,2.148083003703505,110964.73008400062,82.26731601731602,92.77244104556111,92.36246182376885,6,8,12,17,130,1600,3100,5000,90000,109000,111000
,Aggregated,11088,11039,6,435.90011508179174,2.148083003703505,110964.73008400062,82.26731601731602,92.77244104556111,92.36246182376885,6,8,12,17,130,1600,3100,5000,90000,109000,111000
