Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785184766,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785184767,20,POST,/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,4,730.1862500025891,733.1512187374756,730.1862500025891,737.2291249921545,56.0
1785184767,20,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,4,730.1862500025891,733.1512187374756,730.1862500025891,737.2291249921545,56.0
1785184768,40,POST,/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,4,730.1862500025891,733.1512187374756,730.1862500025891,737.2291249921545,56.0
1785184768,40,,Aggregated,0.000000,0.000000,730,730,740,740,740,740,740,740,740,740,740,4,4,730.1862500025891,733.1512187374756,730.1862500025891,737.2291249921545,56.0
1785184769,60,POST,/search,0.000000,0.000000,730,730,740,740,740,740,740,740,740,740,740,4,4,730.1862500025891,733.1512187374756,730.1862500025891,737.2291249921545,56.0
1785184769,60,,Aggregated,0.000000,0.000000,730,730,740,740,740,740,740,740,740,740,740,4,4,730.1862500025891,733.1512187374756,730.1862500025891,737.2291249921545,56.0
1785184770,80,POST,/search,2.000000,2.000000,740,740,2000,2000,2200,2200,2200,2200,2200,2200,2200,6,6,730.1862500025891,1190.5735139929068,730.1862500025891,2180.1672090077773,56.0
1785184770,80,,Aggregated,2.000000,2.000000,740,740,2000,2000,2200,2200,2200,2200,2200,2200,2200,6,6,730.1862500025891,1190.5735139929068,730.1862500025891,2180.1672090077773,56.0
1785184771,100,POST,/search,2.000000,2.000000,740,740,2000,2000,2200,2200,2200,2200,2200,2200,2200,6,6,730.1862500025891,1190.5735139929068,730.1862500025891,2180.1672090077773,56.0
1785184771,100,,Aggregated,2.000000,2.000000,740,740,2000,2000,2200,2200,2200,2200,2200,2200,2200,6,6,730.1862500025891,1190.5735139929068,730.1862500025891,2180.1672090077773,56.0
1785184772,100,POST,/search,2.000000,2.000000,740,740,2000,2000,2200,2200,2200,2200,2200,2200,2200,6,6,730.1862500025891,1190.5735139929068,730.1862500025891,2180.1672090077773,56.0
1785184772,100,,Aggregated,2.000000,2.000000,740,740,2000,2000,2200,2200,2200,2200,2200,2200,2200,6,6,730.1862500025891,1190.5735139929068,730.1862500025891,2180.1672090077773,56.0
1785184773,100,POST,/search,1.200000,1.200000,740,2000,2200,2200,5400,5400,5400,5400,5400,5400,5400,7,7,740,1785.3704882769048,730.1862500025891,5354.152333980892,56.0
1785184773,100,,Aggregated,1.200000,1.200000,740,2000,2200,2200,5400,5400,5400,5400,5400,5400,5400,7,7,740,1785.3704882769048,730.1862500025891,5354.152333980892,56.0
1785184774,100,POST,/search,1.200000,1.200000,740,2000,2200,2200,5400,5400,5400,5400,5400,5400,5400,7,7,740,1785.3704882769048,730.1862500025891,5354.152333980892,56.0
1785184774,100,,Aggregated,1.200000,1.200000,740,2000,2200,2200,5400,5400,5400,5400,5400,5400,5400,7,7,740,1785.3704882769048,730.1862500025891,5354.152333980892,56.0
1785184775,100,POST,/search,1.200000,1.200000,740,2000,2200,2200,5400,5400,5400,5400,5400,5400,5400,7,7,740,1785.3704882769048,730.1862500025891,5354.152333980892,56.0
1785184775,100,,Aggregated,1.200000,1.200000,740,2000,2200,2200,5400,5400,5400,5400,5400,5400,5400,7,7,740,1785.3704882769048,730.1862500025891,5354.152333980892,56.0
1785184776,100,POST,/search,0.875000,0.875000,2000,2200,5400,5400,8900,8900,8900,8900,8900,8900,8900,8,8,740,2672.5728073652135,730.1862500025891,8882.989040983375,56.0
1785184776,100,,Aggregated,0.875000,0.875000,2000,2200,5400,5400,8900,8900,8900,8900,8900,8900,8900,8,8,740,2672.5728073652135,730.1862500025891,8882.989040983375,56.0
1785184777,100,POST,/search,0.777778,0.777778,8900,9200,9300,9300,9700,9700,10000,10000,10000,10000,10000,26,26,8400,7077.815601035792,730.1862500025891,10002.503834024537,57.53846153846154
1785184777,100,,Aggregated,0.777778,0.777778,8900,9200,9300,9300,9700,9700,10000,10000,10000,10000,10000,26,26,8400,7077.815601035792,730.1862500025891,10002.503834024537,57.53846153846154
1785184778,100,POST,/search,0.700000,0.700000,8300,9200,9300,9500,10000,10000,10000,10000,10000,10000,10000,47,47,8300,6718.835664064713,16.686416987795383,10110.498333000578,57.361702127659576
1785184778,100,,Aggregated,0.700000,0.700000,8400,9300,9500,9700,10000,10000,10000,10000,10000,10000,10000,47,47,8300,6718.835664064713,16.686416987795383,10110.498333000578,57.361702127659576
1785184779,100,POST,/search,1.900000,1.900000,8400,9500,9900,9900,9900,10000,10000,10000,10000,10000,10000,79,79,8300,6037.187728417089,4.783749987836927,10110.498333000578,56.81012658227848
1785184779,100,,Aggregated,1.900000,1.900000,8400,9500,9900,9900,9900,10000,10000,10000,10000,10000,10000,79,79,8300,6037.187728417089,4.783749987836927,10110.498333000578,56.81012658227848
1785184780,100,POST,/search,2.800000,2.800000,7700,9200,9700,9900,9900,10000,10000,10000,10000,10000,10000,99,99,5200,4834.081306858952,4.783749987836927,10110.498333000578,56.64646464646464
1785184780,100,,Aggregated,2.800000,2.800000,7700,9200,9700,9900,9900,10000,10000,10000,10000,10000,10000,99,99,5200,4834.081306858952,4.783749987836927,10110.498333000578,56.64646464646464
1785184781,100,POST,/search,4.900000,4.900000,440,8900,9500,9900,9900,10000,10000,10000,10000,10000,10000,113,113,730,4255.792862850559,4.783749987836927,10110.498333000578,56.56637168141593
1785184781,100,,Aggregated,4.900000,4.900000,440,8900,9500,9900,9900,10000,10000,10000,10000,10000,10000,113,113,730,4255.792862850559,4.783749987836927,10110.498333000578,56.56637168141593
1785184782,100,POST,/search,8.000000,8.000000,140,5400,8900,9300,9900,9900,10000,10000,10000,10000,10000,150,150,150,3216.649785293654,4.783749987836927,10110.498333000578,56.42666666666667
1785184782,100,,Aggregated,8.000000,8.000000,140,5400,8900,9300,9900,9900,10000,10000,10000,10000,10000,150,150,150,3216.649785293654,4.783749987836927,10110.498333000578,56.42666666666667
1785184783,100,POST,/search,9.600000,9.600000,100,420,8200,9200,9900,9900,10000,10000,10000,10000,10000,167,167,120,2890.15392416741,4.673999967053533,10110.498333000578,56.383233532934135
1785184783,100,,Aggregated,9.600000,9.600000,100,420,8200,9200,9900,9900,10000,10000,10000,10000,10000,167,167,120,2890.15392416741,4.673999967053533,10110.498333000578,56.383233532934135
1785184784,100,POST,/search,12.100000,12.100000,55,210,7700,8900,9900,9900,10000,10000,10000,10000,10000,192,192,59,2514.8247092232245,3.7150420248508453,10110.498333000578,56.333333333333336
1785184784,100,,Aggregated,12.100000,12.100000,55,210,7700,8900,9900,9900,10000,10000,10000,10000,10000,192,192,59,2514.8247092232245,3.7150420248508453,10110.498333000578,56.333333333333336
1785184785,100,POST,/search,14.900000,14.900000,22,140,440,8200,9900,9900,10000,10000,10000,10000,10000,216,216,26,2236.3480503643386,2.9947919538244605,10110.498333000578,56.2962962962963
1785184785,100,,Aggregated,14.900000,14.900000,22,140,440,8200,9900,9900,10000,10000,10000,10000,10000,216,216,26,2236.3480503643386,2.9947919538244605,10110.498333000578,56.2962962962963
1785184786,100,POST,/search,16.700000,16.700000,15,70,150,380,9900,9900,10000,10000,10000,10000,10000,239,239,18,2022.1727052077586,2.9947919538244605,10110.498333000578,56.26778242677824
1785184786,100,,Aggregated,16.700000,16.700000,15,70,150,380,9900,9900,10000,10000,10000,10000,10000,239,239,18,2022.1727052077586,2.9947919538244605,10110.498333000578,56.26778242677824
1785184787,100,POST,/search,19.400000,19.400000,12,28,98,140,5200,9900,9900,9900,9900,9900,9900,264,264,15,1832.0093109152476,2.9947919538244605,10110.498333000578,56.24242424242424
1785184787,100,,Aggregated,19.400000,19.400000,12,28,98,140,5200,9900,9900,9900,9900,9900,9900,264,264,15,1832.0093109152476,2.9947919538244605,10110.498333000578,56.24242424242424
1785184788,100,POST,/search,21.300000,21.300000,10,17,30,66,210,9900,9900,9900,9900,9900,9900,285,285,14,1697.623116957032,2.9947919538244605,10110.498333000578,56.22456140350877
1785184788,100,,Aggregated,21.300000,21.300000,10,17,30,66,210,9900,9900,9900,9900,9900,9900,285,285,14,1697.623116957032,2.9947919538244605,10110.498333000578,56.22456140350877
1785184789,100,POST,/search,22.300000,22.300000,10,14,20,30,100,190,310,380,420,420,420,310,310,13,1565.0541893741672,2.9947919538244605,10110.498333000578,56.20645161290322
1785184789,100,,Aggregated,22.300000,22.300000,10,14,20,30,100,190,310,380,420,420,420,310,310,13,1565.0541893741672,2.9947919538244605,10110.498333000578,56.20645161290322
1785184790,100,POST,/search,23.900000,23.900000,9,11,15,19,70,140,290,380,420,420,420,332,332,12,1462.1111213614258,2.9947919538244605,10110.498333000578,56.19277108433735
1785184790,100,,Aggregated,23.900000,23.900000,9,11,15,19,70,140,290,380,420,420,420,332,332,12,1462.1111213614258,2.9947919538244605,10110.498333000578,56.19277108433735
1785184791,100,POST,/search,23.300000,23.300000,8,10,12,13,20,36,100,140,290,290,290,356,356,11,1364.2852276542717,2.9947919538244605,10110.498333000578,56.17977528089887
1785184791,100,,Aggregated,23.300000,23.300000,8,10,12,13,20,36,100,140,290,290,290,356,356,11,1364.2852276542717,2.9947919538244605,10110.498333000578,56.17977528089887
1785184792,100,POST,/search,23.200000,23.200000,8,10,12,14,24,41,100,140,290,290,290,381,381,11,1275.5753447162965,2.9947919538244605,10110.498333000578,56.16797900262467
1785184792,100,,Aggregated,23.200000,23.200000,8,10,12,14,24,41,100,140,290,290,290,381,381,11,1275.5753447162965,2.9947919538244605,10110.498333000578,56.16797900262467
1785184793,100,POST,/search,23.200000,23.200000,9,11,12,15,25,51,100,140,290,290,290,403,403,11,1206.6473102831992,2.9947919538244605,10110.498333000578,56.15880893300248
1785184793,100,,Aggregated,23.200000,23.200000,9,11,12,15,25,51,100,140,290,290,290,403,403,11,1206.6473102831992,2.9947919538244605,10110.498333000578,56.15880893300248
1785184794,100,POST,/search,23.100000,23.100000,10,12,17,21,56,140,240,250,330,330,330,429,429,11,1139.538687552485,2.9947919538244605,10110.498333000578,56.14918414918415
1785184794,100,,Aggregated,23.100000,23.100000,10,12,17,21,56,140,240,250,330,330,330,429,429,11,1139.538687552485,2.9947919538244605,10110.498333000578,56.14918414918415
1785184795,100,POST,/search,22.700000,22.700000,9,12,17,20,52,140,240,250,330,330,330,451,451,11,1084.3739039116197,2.9947919538244605,10110.498333000578,56.14190687361419
1785184795,100,,Aggregated,22.700000,22.700000,9,12,17,20,52,140,240,250,330,330,330,451,451,11,1084.3739039116197,2.9947919538244605,10110.498333000578,56.14190687361419
1785184796,100,POST,/search,23.200000,23.200000,9,12,17,20,52,140,240,250,330,330,330,477,477,11,1025.826023140848,2.9947919538244605,10110.498333000578,56.134171907756816
1785184796,100,,Aggregated,23.200000,23.200000,9,12,17,20,52,140,240,250,330,330,330,477,477,11,1025.826023140848,2.9947919538244605,10110.498333000578,56.134171907756816
1785184797,100,POST,/search,23.200000,23.200000,9,11,14,19,56,140,240,250,330,330,330,500,500,11,979.0822493224405,2.9947919538244605,10110.498333000578,56.128
1785184797,100,,Aggregated,23.200000,23.200000,9,11,14,19,56,140,240,250,330,330,330,500,500,11,979.0822493224405,2.9947919538244605,10110.498333000578,56.128
1785184798,100,POST,/search,23.300000,23.300000,9,11,14,18,52,140,240,250,330,330,330,523,523,10,936.405040386839,2.9947919538244605,10110.498333000578,56.122370936902485
1785184798,100,,Aggregated,23.300000,23.300000,9,11,14,18,52,140,240,250,330,330,330,523,523,10,936.405040386839,2.9947919538244605,10110.498333000578,56.122370936902485
1785184799,100,POST,/search,23.700000,23.700000,8,11,12,15,31,80,240,240,330,330,330,551,551,10,889.1766181163035,2.9947919538244605,10110.498333000578,56.116152450090745
1785184799,100,,Aggregated,23.700000,23.700000,8,11,12,15,31,80,240,240,330,330,330,551,551,10,889.1766181163035,2.9947919538244605,10110.498333000578,56.116152450090745
1785184800,100,POST,/search,23.200000,23.200000,8,10,12,14,25,80,240,240,330,330,330,572,572,10,856.8692902813159,2.9947919538244605,10110.498333000578,56.11188811188811
1785184800,100,,Aggregated,23.200000,23.200000,8,10,12,14,25,80,240,240,330,330,330,572,572,10,856.8692902813159,2.9947919538244605,10110.498333000578,56.11188811188811
1785184801,100,POST,/search,24.100000,24.100000,8,10,12,14,24,80,240,240,330,330,330,597,597,10,821.3280803982989,2.9947919538244605,10110.498333000578,56.107202680067005
1785184801,100,,Aggregated,24.100000,24.100000,8,10,12,14,24,80,240,240,330,330,330,597,597,10,821.3280803982989,2.9947919538244605,10110.498333000578,56.107202680067005
1785184802,100,POST,/search,23.800000,23.800000,7,10,12,13,22,80,240,240,330,330,330,615,615,10,797.5089145656789,2.9947919538244605,10110.498333000578,56.104065040650404
1785184802,100,,Aggregated,23.800000,23.800000,7,10,12,13,22,80,240,240,330,330,330,615,615,10,797.5089145656789,2.9947919538244605,10110.498333000578,56.104065040650404
