Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,1980,1980,8,598.3135362905967,2.54025001777336,11997.083583963104,55.69292929292929,16.68127695499894,16.68127695499894,8,12,18,35,580,6900,9200,9900,11000,12000,12000
,Aggregated,1980,1980,8,598.3135362905967,2.54025001777336,11997.083583963104,55.69292929292929,16.68127695499894,16.68127695499894,8,12,18,35,580,6900,9200,9900,11000,12000,12000
