Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,8611,1004,750,3650.005636656432,3.2444159951410256,73149.07454100467,5248.763674369992,72.447508391074,8.447021068939529,750,2800,4100,5300,11000,16000,21000,37000,72000,73000,73000
,Aggregated,8611,1004,750,3650.005636656432,3.2444159951410256,73149.07454100467,5248.763674369992,72.447508391074,8.447021068939529,750,2800,4100,5300,11000,16000,21000,37000,72000,73000,73000
