Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784245517,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784245518,100,POST,/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,950,925.9553123314012,814.6582080007647,953.6526249939925,5603.166666666667
1784245518,100,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,950,925.9553123314012,814.6582080007647,953.6526249939925,5603.166666666667
1784245519,200,POST,/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,24,0,1400,1386.5011978744708,814.6582080007647,1935.6600000028266,5706.458333333333
1784245519,200,,Aggregated,0.000000,0.000000,1400,1500,1600,1800,1900,1900,1900,1900,1900,1900,1900,24,0,1400,1386.5011978744708,814.6582080007647,1935.6600000028266,5706.458333333333
1784245520,300,POST,/search,0.000000,0.000000,2500,2600,2700,2800,2800,2900,2900,3000,3000,3000,3000,72,0,2000,2048.736916083221,814.6582080007647,2979.492874997959,5774.236111111111
1784245520,300,,Aggregated,0.000000,0.000000,2000,2600,2600,2700,2800,2900,2900,3000,3000,3000,3000,72,0,2000,2048.736916083221,814.6582080007647,2979.492874997959,5774.236111111111
1784245521,400,POST,/search,7.500000,0.000000,2500,2700,2800,2900,3400,3500,3500,3800,3900,3900,3900,171,0,2500,2367.909890596783,746.6837079991819,3879.6203329984564,5834.122807017544
1784245521,400,,Aggregated,7.500000,0.000000,2500,2700,2800,2900,3300,3500,3500,3800,3900,3900,3900,171,0,2500,2367.909890596783,746.6837079991819,3879.6203329984564,5834.122807017544
1784245522,500,POST,/search,10.333333,0.000000,2700,2900,3000,3100,3500,3900,4500,4600,4800,4800,4800,225,0,2600,2559.9182240935293,746.6837079991819,4805.005165995681,5855.426666666666
1784245522,500,,Aggregated,10.333333,0.000000,2600,2800,2900,3100,3500,3900,4500,4600,4800,4800,4800,225,0,2600,2559.9182240935293,746.6837079991819,4805.005165995681,5855.426666666666
1784245523,500,POST,/search,26.250000,0.000000,2800,3200,3500,3500,4100,4500,4500,4500,4800,4800,4800,317,0,2800,2795.6119906846043,746.6837079991819,4805.005165995681,5825.7791798107255
1784245523,500,,Aggregated,26.250000,0.000000,2800,3100,3500,3500,4000,4500,4500,4500,4800,4800,4800,317,0,2800,2795.6119906846043,746.6837079991819,4805.005165995681,5825.7791798107255
1784245524,500,POST,/search,35.200000,0.000000,2900,3300,3500,3500,4100,4500,4500,4600,5200,5200,5200,342,0,2800,2844.78934272522,746.6837079991819,5178.06470800133,5817.2192982456145
